2021-06-29 18:03:26.687 INFO  --- [restartedMain] com.hot.dev.HotDevApplication - Starting HotDevApplication on 2K30X873XY2ULWV with PID 13996 (H:\20200312springcloud\owlmail\owlmail-test\hot_devtools\target\classes started by Administrator in H:\20200312springcloud\owlmail)
2021-06-29 18:03:26.690 INFO  --- [restartedMain] com.hot.dev.HotDevApplication - No active profile set, falling back to default profiles: default
2021-06-29 18:03:26.740 INFO  --- [restartedMain] o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-06-29 18:03:26.740 INFO  --- [restartedMain] o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-06-29 18:03:27.625 INFO  --- [restartedMain] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-06-29 18:03:27.634 INFO  --- [restartedMain] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2021-06-29 18:03:27.635 INFO  --- [restartedMain] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-06-29 18:03:27.635 INFO  --- [restartedMain] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2021-06-29 18:03:27.728 INFO  --- [restartedMain] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-06-29 18:03:27.728 INFO  --- [restartedMain] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 987 ms
2021-06-29 18:03:27.874 INFO  --- [restartedMain] o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-06-29 18:03:27.997 INFO  --- [restartedMain] o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-06-29 18:03:28.007 INFO  --- [restartedMain] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2021-06-29 18:03:28.025 INFO  --- [restartedMain] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2021-06-29 18:03:28.032 INFO  --- [restartedMain] com.hot.dev.HotDevApplication - Started HotDevApplication in 2.05 seconds (JVM running for 3.04)
